category_path,cat_leaf,cat_depth,cat_l1,cat_l2,cat_l3,cat_l4,cat_l5,cat_l6,cat_l7,category_key
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters|WirelessUSBAdapters,WirelessUSBAdapters,5,Computers&Accessories,NetworkingDevices,NetworkAdapters,WirelessUSBAdapters,,,,1
Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries|RechargeableBatteries,RechargeableBatteries,4,Electronics,GeneralPurposeBatteries&BatteryChargers,RechargeableBatteries,,,,,2
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice|Mice",Mice,5,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Mice,,,,3
Computers&Accessories|ExternalDevices&DataStorage|PenDrives|PenDrives,PenDrives,4,Computers&Accessories,ExternalDevices&DataStorage,PenDrives,,,,,4
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables|OpticalCables",OpticalCables,6,Electronics,"HomeTheater,TV&Video",Accessories,Cables,OpticalCables,,,5
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables|SpeakerCables",SpeakerCables,6,Electronics,"HomeTheater,TV&Video",Accessories,Cables,SpeakerCables,,,6
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters|Pop-upToasters,Pop-upToasters,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,Pop-upToasters,,,,7
Electronics|PowerAccessories|SurgeProtectors|SurgeProtectors,SurgeProtectors,4,Electronics,PowerAccessories,SurgeProtectors,,,,,8
Computers&Accessories|NetworkingDevices|Routers|Routers,Routers,4,Computers&Accessories,NetworkingDevices,Routers,,,,,9
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders|HandBlenders,HandBlenders,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,HandBlenders,,,,10
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables|USBCables,USBCables,6,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,,,11
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons|SteamIrons",SteamIrons,7,Home&Kitchen,Kitchen&HomeAppliances,"Vacuum,Cleaning&Ironing","Irons,Steamers&Accessories",Irons,SteamIrons,,12
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines|EspressoMachines",EspressoMachines,5,Home&Kitchen,Kitchen&HomeAppliances,"Coffee,Tea&Espresso",EspressoMachines,,,,13
